Order,Family,Genus,Species,FishTree Name,Common name,References
Acipenseriformes,Acipenseridae,Acipenser,baerii,Acipenser_baerii,siberian sturgeon,"Wrobel & Jouma, 2004"
Acipenseriformes,Acipenseridae,Acipenser,brevirostrum,Acipenser_brevirostrum,shortnose sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Vecsei et al. 2000, Kynard et al. 2016"
Acipenseriformes,Acipenseridae,Acipenser,fulvescens,Acipenser_fulvescens,Lake sturgeon,"Bruch & Binkowski 2002, Breder & Rosen 1966"
Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii,Acipenser_gueldenstaedtii,russian sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Breder & Rosen 1966 "
Acipenseriformes,Acipenseridae,Acipenser,medirostris,Acipenser_medirostris,green sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Balon 1975, Israel & May 2010 "
Acipenseriformes,Acipenseridae,Acipenser,nudiventris,Acipenser_nudiventris,ship sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Vecsei et al. 2001, Eenennaam et al. 2012 "
Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,Acipenser_oxyrinchus,atlantic sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Breder & Rosen 1966, Hilton et al. 2016"
Acipenseriformes,Acipenseridae,Acipenser,persicus,Acipenser_persicus,persian sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012"
Acipenseriformes,Acipenseridae,Acipenser,ruthenus,Acipenser_ruthenus,sterlet sturgeon,"Wrobel & Jouma, 2004"
Acipenseriformes,Acipenseridae,Acipenser,sinensis,Acipenser_sinensis,chinese sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Wei et al. 2009 "
Acipenseriformes,Acipenseridae,Acipenser,stellatus,Acipenser_stellatus,stellate sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Balon 1975 "
Acipenseriformes,Acipenseridae,Acipenser,sturio,Acipenser_sturio,baltic sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Breder & Rosen 1966, Williot et al. 2011 "
Acipenseriformes,Acipenseridae,Acipenser,transmontanus,Acipenser_transmontanus,white sturgeon,"Alavi, Rodina, Gela, & Linhart, 2012, Breder & Rosen 1966, Jay et al. 2014 "
Acipenseriformes,Acipenseridae,Huso,dauricus,Huso_dauricus,kaluga,"Alavi, Rodina, Gela, & Linhart, 2012, Krykhtin & Svirskii 1997"
Acipenseriformes,Acipenseridae,Huso,huso,Huso_huso,beluga,"Alavi, Rodina, Gela, & Linhart, 2012, Vecsei et al. 2002 "
Acipenseriformes,Polyodontidae,Polyodon,spathula,Polyodon_spathula,paddlefish,"Alavi, Rodina, Gela, & Linhart, 2012, Breder & Rosen 1966 "
Albuliformes,Albulidae,Albula,vulpes,Albula_vulpes,Bonefish,"Mank & Avise 2006, Jones et al. 1978, Breder & Rosen 1966, Danylchuck et al. 2011"
Albuliformes,Albulidae,Nemoossis,belloci,Pterothrissus_belloci,Longfin bonefish,"Mank & Avise 2006, Breder & Rosen 1966"
Albuliformes,Albulidae,Pterothrissus,gissu,Pterothrissus_gissu,Japanese gissu,"Mank & Avise 2006, Breder & Rosen 1966"
Amiiformes,Amiidae,Amia,calva,Amia_calva,Bowfin,"Mank & Avise 2006, Balon 1990, Breder & Rosen 1966, Stockley et al. 1997"
Anguilliformes,Anguillidae,Anguilla,anguilla,Anguilla_anguilla,european eel,Guarniero et al. 2020
Anguilliformes,Chlopsidae,Chilorhinus,platyrhynchus,Chilorhinus_platyrhynchus,flatnose xenocongrid eel,Fishelson 1994 
Anguilliformes,Chlopsidae,Chilorhinus,suensonii,Chilorhinus_suensonii,seagrass eel,Fishelson 1994
Anguilliformes,Chlopsidae,Kaupichthys,hyoproroides,Kaupichthys_hyoproroides,false moray,Fishelson 1994 
Anguilliformes,Colocongridae,Coloconger,cadenati,Coloconger_cadenati,,Fishelson 1994 
Anguilliformes,Congridae,Acromycter,perturbator,Acromycter_perturbator,,Fishelson 1994 
Anguilliformes,Congridae,Ariosoma,anago,Ariosoma_anago,silvery conger,Fishelson 1994 
Anguilliformes,Congridae,Ariosoma,marginatum,Ariosoma_marginatum,large-eye conger,Fishelson 1994 
Anguilliformes,Congridae,Ariosoma,selenops,Ariosoma_selenops,,Fishelson 1994 
Anguilliformes,Congridae,Bathycongrus retrotinctus,retrotincta,Bathycongrus retrotinctus_retrotincta,blackedge conger,Fishelson 1994 
Anguilliformes,Congridae,Coloconger,meadi,Coloconger_meadi,,Fishelson 1994 
Anguilliformes,Congridae,Coloconger,raniceps,Coloconger_raniceps,froghead eel,Fishelson 1994 
Anguilliformes,Congridae,Conger,conger,Conger_conger,European conger,"Mank & Avise 2006, Gothel 1992"
Anguilliformes,Congridae,Conger,myriaster,Conger_myriaster,Whitespotted conger,Fishelson 1994 
Anguilliformes,Congridae,Conger,oceanicus,Conger_oceanicus,American conger,Fishelson 1994 
Anguilliformes,Congridae,Congriscus,megastomus,Congriscus_megastomus,,Fishelson 1994 
Anguilliformes,Congridae,Gnathophis,habenatus,Gnathophis_habenatus,little conger eel,Fishelson 1994 
Anguilliformes,Congridae,Gnathophis,heterognathos,Gnathophis_heterognathos,,Fishelson 1994 
Anguilliformes,Congridae,Heteroconger,longissimus,Heteroconger_longissimus,Brown garden eel,"Fishelson 1994, Kakizaki et al. 2015 "
Anguilliformes,Congridae,Paraconger,notialis,Paraconger_notialis,Guinean conger,Fishelson 1994 
Anguilliformes,Congridae,Pseudophichthys,splendens,Pseudophichthys_splendens,purplemouthed conger,Fishelson 1994 
Anguilliformes,Congridae,Rhynchoconger,flavus,Rhynchoconger_flavus,yellow conger,Fishelson 1994 
Anguilliformes,Congridae,Rhynchoconger,gracilior,Rhynchoconger_gracilior,whiptail conger,Fishelson 1994 
Anguilliformes,Congridae,Xenomystax,atrarius,Xenomystax_atrarius,deepwater conger,Fishelson 1994 
Anguilliformes,Congridae,Xenomystax,congroides,Xenomystax_congroides,bristletooth conger,Fishelson 1994 
Anguilliformes,Derichthyidae,Derichthys,serpentinus,Derichthys_serpentinus,narrownecked oceanic eel,Fishelson 1994 
Anguilliformes,Derichthyidae,Nessorhamphus,ingolfianus,Nessorhamphus_ingolfianus,duckbill oceanic eel,Fishelson 1994 
Anguilliformes,Derichthyidae,Nessorhamphus ,danae,Nessorhamphus_danae,dana duckbill eel,Fishelson 1994 
Anguilliformes,Heterenchelyidae,Pythonichthys,asodes,Pythonichthys_asodes,Pacific mud eel,Fishelson 1994 
Anguilliformes,Muraenesocidae,Congresox,talabon,Congresox_talabon,yellow pike conger,Fishelson 1994 
Anguilliformes,Muraenesocidae,Gavialiceps,taeniola,Gavialiceps_taeniola,,Fishelson 1994 
Anguilliformes,Muraenesocidae,Muraenesox,cinereus,Muraenesox_cinereus,daggertooth pike conger,"Fishelson 1994, Umezawa et al. 1991 "
Anguilliformes,Muraenesocidae,Oxyconger,leptognathus,Oxyconger_leptognathus,shorttail pike conger,Fishelson 1994 
Anguilliformes,Muraenidae,Echidna,nebulosa,Echidna_nebulosa,starry moray,Fishelson 1992 
Anguilliformes,Muraenidae,Gymnomuraena,zebra,Gymnomuraena_zebra,zebra moray,Fishelson 1992 
Anguilliformes,Muraenidae,Gymnothorax,buroensis,Gymnothorax_buroensis,vagrant moray,Fishelson 1992 
Anguilliformes,Muraenidae,Gymnothorax,hepaticus,Gymnothorax_hepaticus,liver-colored moray,Fishelson 1992 
Anguilliformes,Muraenidae,Gymnothorax,herrei,Gymnothorax_herrei,Herre's moray,"Ferraris 1985, Mank & Avise 2006 , Loh & Chen 2018 "
Anguilliformes,Muraenidae,Gymnothorax,margaritophorus,Gymnothorax_margaritophorus,blotch-necked moray,Fishelson 1992 
Anguilliformes,Muraenidae,Gymnothorax,meleagris,Gymnothorax_meleagris,turkey moray,Fishelson 1992 
Anguilliformes,Muraenidae,Gymnothorax,richardsoni,Gymnothorax_richardsonii,Richardson's moray,Fishelson 1992 
Anguilliformes,Muraenidae,Gymnothorax,undulatus,Gymnothorax_undulatus,undulated moray,Fishelson 1992 
Anguilliformes,Muraenidae,Gymnothorax,zonipectis,Gymnothorax_zonipectis,barredfin moray,Fishelson 1992 
Anguilliformes,Nemichthyidae,Avocettina,bowersii,Avocettina_bowersii,,Fishelson 1994 
Anguilliformes,Nemichthyidae,Avocettina,infans,Avocettina_infans,avocet snipe eel,Fishelson 1994 
Anguilliformes,Nemichthyidae,Nemichthys,scolopaceus,Nemichthys_scolopaceus,slender snipe eel,Fishelson 1994 
Anguilliformes,Nettastomatidae,Facciolella,equatoralis,Facciolella_equatorialis,dogface witch eel,Fishelson 1994 
Anguilliformes,Nettastomatidae,Hoplunnis,macrura,Hoplunnis_macrura,,Fishelson 1994 
Anguilliformes,Nettastomatidae,Nettastoma,melanurum,Nettastoma_melanurum,blackfin sorcerer,Fishelson 1994 
Anguilliformes,Nettastomatidae,Saurenchelys,fierasfer,Saurenchelys_fierasfer,,Fishelson 1994 
Anguilliformes,Serrivomeridae,Serrivomer,beanii,Serrivomer_beanii,stout sawpalate,Fishelson 1994 
Anguilliformes,Serrivomeridae,Serrivomer,samoensis,Serrivomer_samoensis,samoa sawtooth,Fishelson 1994 
Anguilliformes,Serrivomeridae,Serrivomer,sector,Serrivomer_sector,sawtooth eel,Fishelson 1994 
Anguilliformes,Synaphobranchidae,Atractodenchelys,phrix,Atractodenchelys_phrix,,Fishelson 1994 
Anguilliformes,Synaphobranchidae,Dysomma,anguillare,Dysomma_anguillare,short belly eel,Fishelson 1994 Miller et al. 2002 
Anguilliformes,Synaphobranchidae,Dysommina,rugosa,Dysommina_rugosa,,Fishelson 1994 
Anguilliformes,Synaphobranchidae,Ilyophis,brunneus,Ilyophis_brunneus,muddy arrowtooth,Fishelson 1994 
Anguilliformes,Synaphobranchidae,Simenchelys,parasititca,Simenchelys_parasitica,snubnosed eel,Fishelson 1994 
Anguilliformes,Synaphobranchidae,Synaphobranchus,affinis,Synaphobranchus_affinis,grey cutthroat,Fishelson 1994 
Anguilliformes,Synaphobranchidae,Synaphobranchus,brevidorsalis,Synaphobranchus_brevidorsalis,Shortdorsal cutthroat eel,Fishelson 1994 
Anguilliformes,Synaphobranchidae,Synaphobranchus,kaupii,Synaphobranchus_kaupii,Kaupi's arrowtooth,Fishelson 1994 
Anguilliformes,Synaphobranchidae,Synaphobranchus,oregoni,Synaphobranchus_oregoni,,Fishelson 1994 
Atheriniformes,Atherinopsidae,Menidia,menidia,Menidia_menidia,Atlantic silverside,"Middaugh et al. 1981, Conover & Kynard 1984"
Atheriniformes,Atherinopsidae,Odontesthes,nigricans,Odontesthes_nigricans,South american silverside,Morriconi et al. 2009 
Atheriniformes,Atherinopsidae,Odontesthes,smitti,Odontesthes_smitti,Neotropical silverside,Morriconi et al. 2009 
Atheriniformes,Melanotaeniidae,Glossolepis,incisus,Glossolepis_incisus,red raindowfish,"Mank & Avise 2006, Rudiger & Baensch 1991, Kadarini et al. 2018 "
Atheriniformes,Melanotaeniidae,Melanotaenia,nigrans,Melanotaenia_nigrans,Black-banded rainbowfish,"Mank & Avise 2006, Breder & Rosen 1966, Crowley and Ivanstoff 1982"
Atheriniformes,Phallostethidae,Gulaphallus,bikolanus,Gulaphallus_bikolanus,,Grier & Parenti 1994 
Atheriniformes,Phallostethidae,Gulaphallus,mirabilis,Gulaphallus_mirabilis,,"Grier & Parenti 1994, Villadolid & Manacop 1934"
Atheriniformes,Phallostethidae,Neostethus,bicornis,Neostethus_bicornis,,"Mok & Munro 1997, Mank & Avise 2006 , Grier & Parenti 1994 "
Atheriniformes,Phallostethidae,Neostethus,borneensis,Neostethus_borneensis,,Grier & Parenti 1994 
Atheriniformes,Phallostethidae,Neostethus,lankesteri,Neostethus_lankesteri,,"Grier & Parenti 1994, Mank & Avise 2006 "
Atheriniformes,Phallostethidae,Phenacostethus ,posthon,Phenacostethus_posthon,,Grier & Parenti 1994 
Atheriniformes,Phallostethidae,Phenacostethus ,smithi,Phenacostethus_smithi,Smith's priapium,Grier & Parenti 1994 
Atheriniformes,Pseudomugilidae,Pseudomugil,gertrudae,Pseudomugil_gertrudae,Spotted blue-eye,Howe 1987
Atheriniformes,Pseudomugilidae,Pseudomugil,mellis,Pseudomugil_mellis,Honey blue-eye,Howe 1987
Atheriniformes,Pseudomugilidae,Pseudomugil,signifer,Pseudomugil_signifer,Pacific blue-eye,"Howe 1987, Breder & Rosen 1966"
Atheriniformes,Pseudomugilidae,Pseudomugil,tenellus,Pseudomugil_tenellus,Delicate blue-eye,"Howe 1987, Mank & Avise 2006 "
Aulopiformes,Alepisauridae,Alepisaurus,ferox,Alepisaurus_ferox,long snouted lancetfish,Smith & Atz 1973 
Aulopiformes,Bathysauridae,Bathysaurus,ferox,Bathysaurus_ferox,deep-sea lizard fish,"Sulak, Sedberry & Van Guelpin 1985"
Aulopiformes,Bathysauridae,Bathysaurus,mollis,Bathysaurus_mollis,highfin lizardfish,"Sulak, Sedberry & Van Guelpin 1985"
Aulopiformes,Chlorophthalmidae,Chlorophthalmus,agassizi,Chlorophthalmus_agassizi,Shortnose greeneye,"Mank & Avise 2006, de Mitcheson & Liu 2008, Parenti et al. 2015, Cabbidu et al. 2010"
Aulopiformes,Chlorophthalmidae,Parasudis,truculenta,Parasudis_truculenta,Longnose greeneye,"Mank & Avise 2006, de Mitcheson & Liu 2008"
Aulopiformes,Giganturidae,Gigantura,indica,Gigantura_indica,Telescopefish,"Fishelson 1994, Konstantinidis & Johnson 2016 "
Aulopiformes,Ipnopidae,Bathypterois,dubius,Bathypterois_dubius,mediterranean spiderfish,"Fishelson & Galil 2001, Porcu et al. 2010 "
Aulopiformes,Synodontidae,Synodus,ulae,Synodus_ulae,Red lizard fish,"Zaiser & Moyer 1981, Mank & Avise 2006 "
Batrachoidiformes,Batrachoididae,Halobatrachus,didactylus,Halobatrachus_didactylus,Lusitanian toadfish,"Modesto & Canario 2002, Almorim et al. 2006, Vasconcelos et al. 2011, Carrico et al. 2014 "
Batrachoidiformes,Batrachoididae,Opsanus,tau,Opsanus_tau,Oyster toadfish,"Barni et al. 2001, Hoffman 1963, Gray & Winn 1961 Fine et al. 1984, Maruska & Mensinger 2009 "
Batrachoidiformes,Batrachoididae,Porichthys,notatus,Porichthys_notatus,Plainfin midshipman,"Barni et al. 2001, Brantley & Bass 1994, Knapp & Wingfield 1999"
Beloniformes,Adrianichthyidae,Oryzias,latipes,Oryzias_latipes,Japanese medaka,"Grant et al. 1995, Mank & Avise 2006 "
Beloniformes,Belonidae,Tylosurus,acus melanotus,Tylosurus_acus melanotus,keel-jawed needlefish,Liao & Chang 2011 Collette et al. 2010
Beloniformes,Belonidae,Xenentodon,cancila,Xenentodon_cancila,freshwater garfish,"Chakrabarti & Banerjee 2014, Foster 1973 "
Beloniformes,Exocoetidae,Parexocoetus,brachypterus,Parexocoetus_brachypterus,Salinfin flyingfish,"Stevens et al. 2003, Mank & Avise 2006 "
Beloniformes,Hemiramphidae,Hemiramphus,saltator,Hemiramphus_saltator,Longfin halfbeak,"Mank & Avise 2006, Watson 1996"
Beloniformes,Hemiramphidae,Hyporhamphus,unifasciatus,Hyporhamphus_unifasciatus,Common halfbeak,"Mank & Avise 2006, Watson 1996"
Beloniformes,Zenarchopteridae,Dermogenys,ebrardti,Nomorhamphus_ebrardtii,,Downing et al. 1995 Meisner and Burns 1997 
Beloniformes,Zenarchopteridae,Dermogenys,montanus,Dermogenys_montana,,"Downing et al. 1995 Meisner 2001, Downing & Burns 1995 "
Beloniformes,Zenarchopteridae,Dermogenys,orientalis,Dermogenys_orientalis,,"Downing et al. 1995 Meisner 2001, Downing & Burns 1995 "
Beloniformes,Zenarchopteridae,Dermogenys,pusilla,Dermogenys_pusilla,wrestling halfbeak,Downing et al. 1995 Senarat et al. 2019
Beloniformes,Zenarchopteridae,Dermogenys,viviparus,Nomorhamphus_vivipara,,Downing et al. 1995 Meisner 2001 
Beloniformes,Zenarchopteridae,Dermogenys,weberi,Nomorhamphus_weberi,,"Downing et al. 1995, Meisner & Burns 1997 "
Beloniformes,Zenarchopteridae,Hemirhamphodon,chrysopunctatus,Hemirhamphodon_chrysopunctatus,,"Downing et al. 1995, Meisner and Burns 1997 "
Beloniformes,Zenarchopteridae,Hemirhamphodon,kapuasensis,Hemirhamphodon_kapuasensis,,"Downing et al. 1995 Downing and Burns 1995, Reznick et al. 2007 "
Beloniformes,Zenarchopteridae,Hemirhamphodon,kuekenthali,Hemirhamphodon_kuekenthali,,"Downing et al. 1995 Downing and Burns 1995, Reznick et al. 2007 "
Beloniformes,Zenarchopteridae,Hemirhamphodon,phaisoma,Hemirhamphodon_phaiosoma,,"Downing et al. 1995, Downing & Burns 1995 "
Beloniformes,Zenarchopteridae,Hemirhamphodon,pogonognathus,Hemirhamphodon_pogonognathus,forest halfbeak,"Downing et al. 1995 Jamieson 1989, Downing & Burns 1995 "
Beloniformes,Zenarchopteridae,Hemirhamphodon,tengah,Hemirhamphodon_tengah,,Downing et al. 1995 
Beloniformes,Zenarchopteridae,Nomorhamphus,celebensis,Nomorhamphus_celebensis,poso halfbeak,"Downing et al. 1995, Meisner 2001 "
Beloniformes,Zenarchopteridae,Nomorhamphus,liemi,Nomorhamphus_liemi,celebes halfbeak,Downing et al. 1995 Magyer and Greven 2007
Beloniformes,Zenarchopteridae,Nomorhamphus,ravnaki,Nomorhamphus_ravnaki,,"Downing et al. 1995, Meisner 2001"
Beloniformes,Zenarchopteridae,Nomorhamphus,sanussi,Nomorhamphus_sanussii,,Downing et al. 1995 
Beloniformes,Zenarchopteridae,Nomorhamphus,towoetii,Nomorhamphus_towoetii,,Downing et al. 1995 Meisner & Burns 1997 
Beloniformes,Zenarchopteridae,Zenarchopterus,buffonis,Zenarchopterus_buffonis,Buffon's river garfish,"Kottelat & Lim 1999, Mank & Avise 2006 "
Beloniformes,Zenarchopteridae,Zenarchopterus,gilli,Zenarchopterus_gilli,Viviparous halfbeak,"Kottelat & Lim 1999, Mank & Avise 2006 "
Beryciformes,Berycidae,Beryx,splendens,Beryx_splendens,splendid alfonsino,"Lehodey, Grandperrin, Marchal 1997, Akimoto et al. 2002 Baumberger et al. 2010 "
Beryciformes,Trachichthyidae,Hoplostethus,atlanticus,Hoplostethus_atlanticus,orange roughy,"Pankhurst, McMillan, and Tracey 1987, Branch 2001 "
Cetomimiformes,Cetomimidae,Cetostoma,regani,Cetostoma_regani,,Johnson et al. 2009 
Characiformes,Acestrorhynchidae,Acestrorhynchus,lacustris,Acestrorhynchus_lacustris,,Bazzoli & Godinho 1991 
Characiformes,Anostomidae,Leporinus,macrocephalus,Leporinus_macrocephalus,,"Munoz et a. 2011, Oliveira et al. 2015, Reynalte-Tataje et al. 2013 "
Characiformes,Bryconidae,Brycon,opalinus,Brycon_opalinus,,Gomiero and Bragg 2006 
Characiformes,Bryconidae,Brycon,orthotaenia,Brycon_orthotaenia,,Goncalves et al. 2006 
Characiformes,Characidae,Argopleura,chocoensis,Argopleura_chocoensis,,Burns et al. 1995 
Characiformes,Characidae,Argopleura,magdalenensis,Argopleura_magdalenensis,,Burns et al. 1995 
Characiformes,Characidae,Brittanichthys,axelrodi,Brittanichthys_axelrodi,,"Jovanillo, Burns, & Weitzman 2007 "
Characiformes,Characidae,Corynopoma ,riisei,Corynopoma_riisei,swordtail characin,"Azevedo, Malabarba & Fialho 2000, Atkins & Fink 1979 Bushmann & Burns 1993, Amcoff 2008 "
Characiformes,Characidae,Diapoma,speculiferum,Diapoma_speculiferum,,"Azevedo, Malabarba & Fialho 2000 "
Characiformes,Characidae,Diapoma,terofali,Diapoma_terofali,,Burns et al. 1995 
Characiformes,Characidae,Gephyrocharax,atracaudatus,Gephyrocharax_atracaudatus,,Burns et al. 1995 
Characiformes,Characidae,Gephyrocharax,chocoensis,Gephyrocharax_chocoensis,,Burns et al. 1995 
Characiformes,Characidae,Gephyrocharax,intermedius,Gephyrocharax_intermedius,,Burns et al. 1995 
Characiformes,Characidae,Gephyrocharax,valencia,Gephyrocharax_valencia,,Burns et al. 1995 
Characiformes,Characidae,Gephyrocharax,venezuelae,Gephyrocharax_venezuelae,,Burns et al. 1995 
